Epoch: [51][50/53]	Loss 1.2139 (1.5588)
Epoch: [52][0/53]	Loss 1.0509 (1.0509)
Epoch: [52][10/53]	Loss 1.7693 (1.6680)
Epoch: [52][20/53]	Loss 1.7056 (1.6761)
Epoch: [52][30/53]	Loss 1.6265 (1.6570)
Epoch: [52][40/53]	Loss 1.9041 (1.6123)
Epoch: [52][50/53]	Loss 1.4013 (1.6062)
Epoch: [53][0/53]	Loss 1.7662 (1.7662)
Epoch: [53][10/53]	Loss 1.8555 (1.5801)
Epoch: [53][20/53]	Loss 1.2738 (1.5250)
Epoch: [53][30/53]	Loss 1.3829 (1.4666)
Epoch: [53][40/53]	Loss 1.1142 (1.4374)
Epoch: [53][50/53]	Loss 1.5938 (1.4282)
Epoch: [54][0/53]	Loss 1.4668 (1.4668)
Epoch: [54][10/53]	Loss 1.4494 (1.3924)
Epoch: [54][20/53]	Loss 1.5667 (1.4049)
Epoch: [54][30/53]	Loss 1.2584 (1.4633)
Epoch: [54][40/53]	Loss 1.4271 (1.4328)
Epoch: [54][50/53]	Loss 1.2957 (1.4337)
Epoch: [55][0/53]	Loss 1.1615 (1.1615)
Epoch: [55][10/53]	Loss 1.3606 (1.4810)
Epoch: [55][20/53]	Loss 1.3132 (1.4921)
Epoch: [55][30/53]	Loss 2.0203 (1.4502)
Epoch: [55][40/53]	Loss 1.2708 (1.4579)
Epoch: [55][50/53]	Loss 1.3380 (1.4420)
Epoch: [56][0/53]	Loss 1.4203 (1.4203)
Epoch: [56][10/53]	Loss 1.7662 (1.5216)
Epoch: [56][20/53]	Loss 1.2160 (1.5148)
Epoch: [56][30/53]	Loss 2.0541 (1.4932)
Epoch: [56][40/53]	Loss 1.0343 (1.4474)
Epoch: [56][50/53]	Loss 0.8849 (1.4104)
Epoch: [57][0/53]	Loss 1.5582 (1.5582)
Epoch: [57][10/53]	Loss 1.4604 (1.4230)
Epoch: [57][20/53]	Loss 2.0806 (1.4449)
Epoch: [57][30/53]	Loss 1.0344 (1.4224)
Epoch: [57][40/53]	Loss 1.3780 (1.4239)
Epoch: [57][50/53]	Loss 1.1560 (1.4063)
Epoch: [58][0/53]	Loss 0.9347 (0.9347)
Epoch: [58][10/53]	Loss 1.4790 (1.4610)
Epoch: [58][20/53]	Loss 1.0500 (1.4578)
Epoch: [58][30/53]	Loss 1.2621 (1.4072)
Epoch: [58][40/53]	Loss 1.2010 (1.3923)
Epoch: [58][50/53]	Loss 1.3805 (1.3811)
Epoch: [59][0/53]	Loss 1.1326 (1.1326)
Epoch: [59][10/53]	Loss 1.8406 (1.3257)
Epoch: [59][20/53]	Loss 1.1415 (1.2956)
Epoch: [59][30/53]	Loss 1.3820 (1.2667)
Epoch: [59][40/53]	Loss 1.1490 (1.2614)
Epoch: [59][50/53]	Loss 1.1062 (1.2787)
Epoch: [60][0/53]	Loss 1.6796 (1.6796)
Epoch: [60][10/53]	Loss 1.1088 (1.2632)
Epoch: [60][20/53]	Loss 2.1820 (1.3132)
Epoch: [60][30/53]	Loss 1.6731 (1.2965)
Epoch: [60][40/53]	Loss 1.1502 (1.3217)
Epoch: [60][50/53]	Loss 0.9424 (1.3321)
Epoch: [61][0/53]	Loss 1.3747 (1.3747)
Epoch: [61][10/53]	Loss 1.2431 (1.3757)
Epoch: [61][20/53]	Loss 1.1620 (1.3889)
Epoch: [61][30/53]	Loss 1.3839 (1.3277)
Epoch: [61][40/53]	Loss 1.9238 (1.3432)
Epoch: [61][50/53]	Loss 1.5658 (1.3416)
Epoch: [62][0/53]	Loss 0.8898 (0.8898)
Epoch: [62][10/53]	Loss 1.3841 (1.3612)
Epoch: [62][20/53]	Loss 1.0148 (1.2771)
Epoch: [62][30/53]	Loss 1.1734 (1.2654)
Epoch: [62][40/53]	Loss 1.2231 (1.2902)
Epoch: [62][50/53]	Loss 1.2714 (1.2966)
Epoch: [63][0/53]	Loss 1.1520 (1.1520)
Epoch: [63][10/53]	Loss 1.3886 (1.2736)
Epoch: [63][20/53]	Loss 1.8081 (1.2638)
Epoch: [63][30/53]	Loss 1.0378 (1.2644)
Epoch: [63][40/53]	Loss 0.9218 (1.2405)
Epoch: [63][50/53]	Loss 1.0279 (1.2353)
Epoch: [64][0/53]	Loss 1.1759 (1.1759)
Epoch: [64][10/53]	Loss 1.5433 (1.3127)
Epoch: [64][20/53]	Loss 1.0860 (1.2893)
Epoch: [64][30/53]	Loss 1.1375 (1.2618)
Epoch: [64][40/53]	Loss 1.4167 (1.2720)
Epoch: [64][50/53]	Loss 1.1851 (1.2764)
Epoch: [65][0/53]	Loss 0.9464 (0.9464)
Epoch: [65][0/53]	Loss 1.1509 (1.1509)
Epoch: [65][10/53]	Loss 1.2092 (1.1868)
Epoch: [65][20/53]	Loss 1.2143 (1.1736)
Epoch: [65][30/53]	Loss 1.1201 (1.2154)
Epoch: [65][40/53]	Loss 1.1440 (1.2380)
Epoch: [65][50/53]	Loss 1.1963 (1.2531)
Epoch: [66][0/53]	Loss 1.4928 (1.4928)
Epoch: [66][10/53]	Loss 1.2280 (1.4812)
Epoch: [66][20/53]	Loss 1.8721 (1.4824)
Epoch: [66][30/53]	Loss 1.2278 (1.4215)
Epoch: [66][40/53]	Loss 1.3573 (1.3797)
Epoch: [66][50/53]	Loss 1.0748 (1.3546)
Epoch: [67][0/53]	Loss 1.6735 (1.6735)
Epoch: [67][10/53]	Loss 1.7515 (1.3019)
Epoch: [67][20/53]	Loss 1.2293 (1.2934)
Epoch: [67][30/53]	Loss 1.2831 (1.2746)
Epoch: [67][40/53]	Loss 1.4669 (1.2894)
Epoch: [67][50/53]	Loss 0.9731 (1.2497)
Epoch: [68][0/53]	Loss 1.2221 (1.2221)
Epoch: [68][10/53]	Loss 1.4072 (1.2786)
Epoch: [68][20/53]	Loss 1.5194 (1.3367)
Epoch: [68][30/53]	Loss 1.2433 (1.3147)
Epoch: [68][40/53]	Loss 1.1823 (1.2906)
Epoch: [68][50/53]	Loss 1.1152 (1.2771)
Epoch: [69][0/53]	Loss 0.9619 (0.9619)
Epoch: [69][10/53]	Loss 1.0479 (1.1849)
Epoch: [69][20/53]	Loss 1.5547 (1.1982)
Epoch: [69][30/53]	Loss 1.0677 (1.1932)
Epoch: [69][40/53]	Loss 1.0531 (1.2007)
Epoch: [69][50/53]	Loss 1.2709 (1.2200)
Epoch: [70][0/53]	Loss 1.2503 (1.2503)
Epoch: [70][10/53]	Loss 1.4564 (1.2997)
Epoch: [70][20/53]	Loss 1.2231 (1.2442)
Epoch: [70][30/53]	Loss 1.3472 (1.2560)
Epoch: [70][40/53]	Loss 1.0484 (1.2265)
Epoch: [70][50/53]	Loss 1.2832 (1.2272)
Epoch: [71][0/53]	Loss 1.1712 (1.1712)
Epoch: [71][10/53]	Loss 1.0771 (1.2129)
Epoch: [71][20/53]	Loss 1.1771 (1.2289)
Epoch: [71][30/53]	Loss 1.3384 (1.2185)
Epoch: [71][40/53]	Loss 0.9361 (1.2043)
Epoch: [71][50/53]	Loss 1.2574 (1.2160)
Epoch: [72][0/53]	Loss 1.1590 (1.1590)
Epoch: [72][10/53]	Loss 1.3728 (1.2210)
Epoch: [72][20/53]	Loss 1.4438 (1.2087)
Epoch: [72][30/53]	Loss 0.9089 (1.1787)
Epoch: [72][40/53]	Loss 1.0071 (1.1714)
